----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Fri Jun 14 11:39:57 2024
----------------------------------------------------------------------
{'name': 'gvfsd-dnssd', 'username': 'arjun', 'pid': 3337, 'vms': 309.3984375} 
{'name': 'snap', 'username': 'arjun', 'pid': 4996, 'vms': 1930.84765625} 
{'name': 'uas', 'username': 'root', 'pid': 7833, 'vms': 0.0} 
{'name': 'nautilus', 'username': 'arjun', 'pid': 7979, 'vms': 1006.47265625} 
{'name': 'obexd', 'username': 'arjun', 'pid': 8133, 'vms': 45.859375} 
{'name': 'kworker/2:3-events', 'username': 'root', 'pid': 9785, 'vms': 0.0} 
{'name': 'scsi_eh_2', 'username': 'root', 'pid': 9994, 'vms': 0.0} 
{'name': 'scsi_tmf_2', 'username': 'root', 'pid': 9995, 'vms': 0.0} 
{'name': 'usb-storage', 'username': 'root', 'pid': 9996, 'vms': 0.0} 
{'name': 'irq/127-mei_me', 'username': 'root', 'pid': 10792, 'vms': 0.0} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11161, 'vms': 33427.76171875} 
{'name': 'cat', 'username': 'arjun', 'pid': 11167, 'vms': 8.3125} 
{'name': 'cat', 'username': 'arjun', 'pid': 11168, 'vms': 8.3125} 
{'name': 'chrome_crashpad_handler', 'username': 'arjun', 'pid': 11170, 'vms': 32789.9453125} 
{'name': 'chrome_crashpad_handler', 'username': 'arjun', 'pid': 11172, 'vms': 32780.92578125} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11178, 'vms': 33127.61328125} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11179, 'vms': 33127.60546875} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11181, 'vms': 33127.625} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11206, 'vms': 33613.56640625} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11207, 'vms': 33183.73828125} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11217, 'vms': 33184.91796875} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11368, 'vms': 1160522.50390625} 
{'name': 'chrome', 'username': 'arjun', 'pid': 11778, 'vms': 33375.265625} 
{'name': 'kworker/9:0-events', 'username': 'root', 'pid': 14881, 'vms': 0.0} 
{'name': 'kworker/6:3', 'username': 'root', 'pid': 14904, 'vms': 0.0} 
{'name': 'kworker/4:2-mm_percpu_wq', 'username': 'root', 'pid': 15090, 'vms': 0.0} 
{'name': 'code', 'username': 'arjun', 'pid': 15092, 'vms': 1150232.76953125} 
{'name': 'code', 'username': 'arjun', 'pid': 15097, 'vms': 32978.5703125} 
{'name': 'code', 'username': 'arjun', 'pid': 15098, 'vms': 32978.55859375} 
{'name': 'code', 'username': 'arjun', 'pid': 15100, 'vms': 32978.58203125} 
{'name': 'chrome_crashpad_handler', 'username': 'arjun', 'pid': 15114, 'vms': 32788.9453125} 
{'name': 'code', 'username': 'arjun', 'pid': 15130, 'vms': 33474.71875} 
{'name': 'code', 'username': 'arjun', 'pid': 15136, 'vms': 33043.1484375} 
